昵称,星级,有用,评论
幻蓝,4,6,优点还是很多的：美学很可以；重视个人人道主义、对集体主义的评判，价值观在今天国内很难得；天梯很棒；用十年时间很希望相信自己是错了但是做不到；好久没见过这样让人舒服的大叔了；轮回那个地点充满埃及风情，芦苇原环绕的一片原初之水。不喜欢的地方也有，比如为什么非得是熊孩子性格和那个声音；剧情进展的节奏比较刻板等等。但作为国产动画，也想不到什么比这个更好的片子了
我纷纷的,1,47,什么骗钱电影 没头没脑 比大鱼海棠还难看 妲己传吧 
coldcloud,4,3,   兽耳就是正义，转世之后成为名叫李元芳。姜子牙不做正义的伙伴。总体还行，情怀加一颗，回味一下还真有点漫画封神演义那味。
バイ菌17号,3,6,开头几分钟的二维画面太漂亮了，正片变三维之后的观感那叫一个落差剧烈。剧情从进入归墟才开始觉得有意思起来，正在酝酿情绪期待高潮的时候整个垮掉结束。。最后就是那个意思吧？神外有爹，谁赵谁赢，想搞弑神，但没种。
天马行师,3,2,姜·封神落榜生·垂钓发烧友·二级四不像驯兽师·小豹小狐好朋友·三界最惨工具人·强迫症重度患者·太公子牙
福由子,3,2,姜子牙的配音值得五分，画面值得五分，剧情就三分吧！
我,4,21,七分，前边节奏太拖了。一个半小时刚好。发现了更多的思考与哲学意念。鼓励。
朱古力,3,18,5分，这个故事跟封神榜的关系在哪里？挂羊头卖狗肉，世界观设定从西方随便乱学，设定随意，共情极差，这个肃杀风格视效是可以的，但有多少原创，基本都是一直要煽动你投入他严格的说教，但逻辑真的是一塌糊涂。尊重编剧不至于烧这么多钱拍这个，哪吒的口碑止步于此。最好看的是彩蛋，还有配音问题一直是国漫的问题，就是跟画面搭起来怪怪的，从各个方面，哪吒都好到离谱，因为哪吒在踏实满足观众
妄想代理7,4,2,4.5我觉得比哪吒好看 视效挺好的 咧咧又没看懂
Steamed Punk,3,3,最后居然是越级上访真的不行
mOco,3,1,技术真不错，虽然还是看得出差距，但是IMAX看还是视觉很享受，尤其是开场的2D大战场面，很厉害！不过这个故事就……价值观输出太强烈了，而且也不是很受普遍认同的价值观，姜子牙顿悟后真的不是基督吗？
BaMbino*。,2,24,彩蛋更好看
肖鸿滨,2,60,这啥啊？这哪啊？咋回事?咋死了?完事了？
Elizabeth,1,8,开场三十五分已经看不下去了。有我讨厌的一切元素：尖下巴，让“淡然”代表一切情绪的造作配音，西方魔法世界里的地下酒馆，亡灵也像指环王沼泽里出来的。愚蠢的配角，长得不知所谓的小动物。地下酒馆里的配乐乱七八糟，不然似乎有点意思。反正从开头不敢让姜子牙做老头子就知道制作团队想象力就那样了！哦，还有衣服，嗐，不想说。哦，这种配音叫“冷清”，呕。还有那个基督像，还有片尾曲里“爱与温柔”，到底学哪个啊你要？反正不是中国。
煮孩子带饭,5,1,打一分都seriously？！最后姜子牙那个宙斯+波塞冬+耶稣+夸父造型确实尬到我，还有那个潦草的天外有天人上有人的结局烂了点之外，其余都蛮好。比哪吒好。人们老讲体制。《姜子牙》讲了个多好的体制和英雄的故事啊。那个奇葩说的辩题，多少“救世主”让世界频频陷入大火？
冯小强,5,9,"期待太久，诚不欺我，这是国产动画电影的全面提升。开篇的二维动画太惊艳了，天马行空，大气磅礴。三维动画部分，因为主要讲的是神妖之战，少了凡人的束缚，在诸多场景设计上彻底放飞了想象力，尤其是夕阳下芦苇飘荡的归墟，美轮美奂。

这是一部非常成人化的动画电影，很勇敢的摒弃了低幼搞笑，主题的深度，更是让我大为惊叹。苍生和个人，孰轻孰重？善与恶，孰是孰非？神性和人性，孰高孰低？最终的答案和故事结局，叛逆，热血，过瘾，解恨！

结局更是细思恐极，姜子牙赢了嘛？九尾狐妖显然就是元始天尊的工具人，那姜子牙是不是更高位神仙的工具人呢？就像尼奥只不过是MATRIX系统自我修复和进化的工具，最终被关进渡劫城的姜子牙，是否仅仅是解决了神妖权力体系的一个问题，而体系本身，依然牢不可破..."
深夜声噎,1,37,塞尔达的大叔不太冷？神鞭？胸碰胸？比哪吒可差太远了，就这还搞3D，睡大半场，无聊3D再减一星。忘了带3D眼镜出门又买了一副……后悔死了现在希望自己根本没出门。
kapple,2,18,电影前半段仍在水准之上，画面精致、打斗流畅、剪辑出色、故事吸引。但是后半段却把以上的优点全部变成了缺点。剪辑突然变得突兀、打斗也十分敷衍，尤其是故事，在中段后原本的悬念被糟糕地叙事一一变成俗套导致整个故事变得十分空洞。还有结尾，大boss费尽心思却不明所以的挂了，姜子牙的变身和暴走似乎在说我是主角我想变身就变身，我想秒师尊就秒师尊，不需要任何理由。愚弄观众～愚弄市场，最终都是愚弄自己～～
[已注销],3,1,开头2D最佳 殷周唐三藏
灰狼,1,9,李慕白对玉娇龙的欲望 以及碧眼狐狸复仇江南鹤的故事……
Quester,3,2,模仿的痕迹太重，似乎想打着中国风国漫的名头，实际上却充斥着西化的逻辑，人设各种拼凑不统一，像是除了主角其他都从各种网游拽过来串戏的临演。故事和对白都太弱，中二网文的调调，说的话不符合人物，就非常的跳戏。（查看了一下主创名单，还是都太年轻了）
蛋蛋秀,4,5,"注定口碑两极分化。

相对于《哪吒》的老少皆宜，《姜子牙》显然更适合成人观看。后者的风格很沉稳很严肃，姜子牙是个不合群的神仙，他为了心中的道义，竟然要挑战至高无上的师尊的权威…这样的反叛，相较于热血，更像是不甘！

主题上，《哪吒》讲孩子的叛逆，《姜子牙》讲中年人的执念。

哪吒为何叛逆？因为初生牛犊不怕虎，因为无知者无畏，那种天真浪漫难能可贵，姜子牙为何总是充满悲悯的执念，因为他见过苍生受苦，他之所以成为神就是为了解救苍生，可是“不救一人，何以救苍生”的执念像一根刺深深扎在他的心底，他隐忍十年，最后必须拔出刺，向不公宣战。

更让我始料未及的是《姜子牙》的格局，一部动画电影探讨个体跟群体的对抗，个人对体制的质疑，这是以往国产动画电影从未做过的尝试，风险很高，但导演勇气可嘉。
"
私~川流,5,4,为这个价值观加一星：是神是人是妖，重生皆不欺。
无神,5,10,"满分的美术与理念结合，探索zz表达之界限的动画电影。看懂了的话，打碎天庭的快感是无与伦比的。故事是干瘪了点，但故事在电影之外。
总局，这片你都不禁，天尊回过神来生气了就不好了"
字母君,3,5,美术设计更好，也没有刻板的喜剧元素，比《哪吒》更值得鼓励。但分镜设计同样平庸，战斗戏以外的镜头都很干瘪，与九尾狐初次正面冲突那场戏简直是灾难，申公豹、纣王两个角色在场景内多次瞬移，动作、空间一片混乱。情节推进生硬，内里也依旧是矛盾的，中心思想也因此总是飘在天上：姜子牙要“救每个身边之人”，却毫无顾忌地留下了申公豹；世人逆反了天命，胜利却只因“天外有天”；姜子牙要救小九，似乎也只是因为对她有太多情感投射而已——如果把受害者换成北海酒馆的掌柜或者随便哪个不一定“无辜”的小妖，他还会如此义无反顾吗？类似题材，漫画《神契》要处理得好很多，后者甚至直接点明了“天外天”的不可靠。
煤十斤公爵,3,1,3.5，动画的存在在于可以，并可能通过奇观的方式，如同装置艺术般地将主体消失在返乡过程的空间之中——“先定和谐”的残酷宇宙。神仙=哲学家，发现了影片的这一能指链之后，《姜子牙》打断如同动作游戏般过关打怪的桥段甚至是情感片段都可以被隐去，显现的则是影片背后的现代哲学之诺斯替困境。当姜子牙自称“真正的神”时，他将自己认为是去蔽的教师。一如“先定和谐”这一公开/隐蔽的教诲模式被否定。这一点使得启蒙，现代哲学家有别于莱布尼茨。但在影片结尾之中，我们发现了另外一种更为神秘，甚至不能“直称其名”的师祖的存在。某种希伯来预言在“希腊式”的崩塌中不言自明，新神学的诞生，人类被迫在什么也没有发生的伊甸园之中赤身裸体。
银字笙调,3,15,两颗半星给画面。还好多人说有深度，不是说提出一个问题就叫深奥了，这部电影能引人深思吗？姜子牙整部剧里，有一刻犹豫不救小九救天下吗？根本没有突出这个矛盾，自然谈不上让人深思，甚至都没有让人思考的空间（何况小九命要救，申公豹就可以牺牲是么？这什么逻辑）。剧情也是节奏乱七八糟，花那么多时间铺垫的阴谋，两句话讲完，简单到没朋友，让人不禁感叹一句，就这？头重脚轻。而且很多问题没交代明白，比如为什么保守一个秘密，要把所有狐族都封起来，又为什么要把九尾和小九锁在一起（妖怪弱到变形技能都没了？）还有啊，人设太差了吧，小九和哪吒一样，尴尬中二少年风，申公豹也是熟悉的配角风格，总是一股傻傻话唠的感觉，反派也是非常无聊的反派，而且输的莫名其妙。只有彩蛋好玩
与碟私奔,3,2,第一次认真看封神故事，看来也需要补习相关故事传说了，至于人神众生如何把故事讲好，则是需要下功夫了，大叔(老爷爷)小萝莉，想看狐媚的妲己。
瓜咕叽,3,3,国产奇幻两大宝，造萌物，卖腐，然后搞点电车难题。
喂饭,2,3,未经打磨就匆匆忙忙输出的电影。把人物当任务，“爱人”究竟是一种观念还是与人相处的此刻？这个问题在片中似乎被模糊掉，电影里的“此刻”被回忆杀取代，作为个体的狐妖背负了太多隐喻包袱，仍是价值观的代言人
筷喜旺,3,2,画面已经有能力做到那么精美漂亮了，为什么不稍微花点钱找个人好好写一下剧本，再不行你架空也行啊，为什么国漫那么热衷于“发扬xx精神”然后把传统故事借个壳子瞎改编
沈辛成🐝,5,13,如果封神宇宙里 每个片都是哪吒的调性 那才真的是令人担忧的。不要走迪士尼和漫威的老路死路 留一点东方的深沉 哪怕观众不那么喜欢
Melisa。,3,13,三星半。不难看但是明显节奏有问题，导致想表达的主题在最后呈现出来的效果上打了折扣。看预告的时候就觉得开场的2D很棒，大屏幕上看了也确实是很优秀的一段。当然，最优秀的还是最后的贴片彩蛋预告。
文森特九六,2,8,院线国漫在技术层面几乎已然成熟完备并有着无限维度的开拓边界，于美学形式上的期待在某种程度上甚至已经将西方以好莱坞为代表的固有视觉造型基准甩在了脑后，但在文本等软性层面上大部分创作者却几乎都是在面临一个立足于传统古典人物情节基础上的对意识形态进行放肆、分裂、无序的不计混乱只顾时髦的篡改紊乱状态，仅凭所谓春秋笔法带来的创作自由的幻象，到头来也只能是幻象。
光年,5,10,是一部给人思考的片子，想看爆米花大片的洗洗睡吧，不用和哪吒比较，姜子牙有他独特的一面。我太喜欢四不向了！赶紧出周边吧！！！
霖默,3,1,特效是真的好，剧情是真的烂，人设还是一如既往的单薄。最烦大气磅礴的神话故事中穿插点小情小爱，格局一下子掉到抖音水平。我倒是觉得国漫的差距还不在制作，而在剧本和台词，简而言之，低龄。
方小孬,4,4,主题沉重又中二哈哈哈，不是儿童向。
JoeyLu陆柏宇,3,1,一场自我救赎之旅
麦高芬,4,6,想杀的妖杀不了，想救的人救不下，想去反抗到头来也只能砸断天梯，这就是成人的无奈和憋屈。姜子牙的“道”是在他失去神力、失去伙伴、失去信仰之后成就的，所谓斩尽一切，是他的公平，他的“天地不仁”。当然如果换成哪吒的话，九尾首先得打赢啊，师尊肯定也要揍得过啊，对了朋友怎么能死呢，死了也得给我复活呀，而姜子牙就从头到尾没打赢过，一不够爽，二没笑话，所以对于部分观众来说可能接受不了。个人倒是更喜欢这部，算近年来看过最好的国产动画，不满的地方就是师尊的动机没有更多的篇幅去塑造了，“斩善论”在如今的环境下说出来挺有意思的。剩下的就是申公豹的洗人设问题，放到联合宇宙里怎么解决，这总不能学漫威来个平行世界吧？最后一点小期许：真的不考虑一下用片头的画风再做个山海经或者聊斋吗？
RUNE,3,7,极具反骨精神的作品，主旨是硬来硬去，成片也是硬来硬去。作为观众只需放空自己，享受顶级美术画面的轰炸，剧情就xjb看吧
Iain～liu,4,16,比疯狂屎尿屁笑话的哪吒好，立意不错，表达的不到位。
赵启辰,3,3,一些设定和交待还欠清楚，信息总是临到关头才披露，观众甚至没有反应时间。姜子牙和妲己之间还没和申公豹之间的情感动人，主角也很圣父，显得太薄了，造型上也有点问题，不是很想看到白胡子老爷爷突然没了衣服去拉小女孩的手
葵花籽,-,2,姜子牙变身后那个表情直接笑出声 以及头发都花白了怎么一丝眼尾纹都没啊 刚开始那段画风真的喜欢 
塔塔君Minkun,3,3,说是封神宇宙，其实是另一套关于职场左迁的中年危机神话。比《哪吒》好的是，至少不是拾人牙慧。
蓦兰,5,10,这不比哪吒好看多了？＃江湖观影团＃
yuanyuan,4,16,如果与《哪吒之魔童降世》相比，那我选《姜子牙》。相对于前者喊口号式对命运的反抗，没有饱满的故事细节做支撑，显得有点中二；《姜子牙》对于行为选择道德困境中的挣扎，有了相对清晰的故事架构支撑。火车开过来，救一个人还是五个人？生命面前，没有完美答案，姜子牙选择救那个离得近的，师尊选择了玩弄权利，再套上救五个人的壳子站在道德高地。暗黑一点想，如果师尊代表了无法扳倒的绝对权力，而没有被师祖惩罚，这个故事可以出下集，而且更深刻。视觉效果很棒，可以看看。
SingLesinger,3,1,不可。
白小顶,3,3,如果不打着哪吒进行营销，我愿意多给一颗星。说教太重，剧情太弱，人物太单薄，画画再美又如何。
梦野千秋,3,3,With凡。将主旨理解为“救一人和救天下的轻重之争”显然未得真味。实际上本片的精神内核比《哪吒》更深入了一大步。同是对抗天命，哪吒的斗争更率性热血，但却是不彻底的，哪吒的“我命由我不由天”是以承认天罚为前提的抗争，其与“天命”之间的矛盾本质上是同一道路的对立方向。而姜子牙不同，他沉默而纠结，其斗争更多在内心（所以缺乏哪吒式的战天斗地场面），最终实现价值观重塑，开辟了和“天命”泾渭分明的“人的道路”，不藉由封神，而是“以自己的方式去成为神”，砸断天梯便是这一思想独立的最终宣告。即使神依然是无法抵抗的强权，人却从此不再需要神，人藉由自己而得护佑。从这个意义上讲，姜子牙是封神宇宙的伏尔泰甚至尼采。师祖降罚这段是大败笔，几乎全盘推翻了前面那些深入思考的努力。重蹈《悟空传》的覆辙，自我阉割，实在可惜。
186********,5,11,挺好的，略暗黑，确实不适合小孩子看。有些人给差评的原因也比较迷，只想说并不是爆笑合家欢才好。电影主题很好：不救一人何以救苍生的，相比市场上充斥的喜欢的抖机灵恶俗剧，层次还是比较高的。个人觉得好过哪吒
尘飞扬,3,1,一部割裂的电影，立意很棒，姜子牙对体制的怀疑和反叛，苏妲己的恶是对不公的反抗。影片让人不适的是，剧情稀烂，抒情段落太多。有人认为剧情不是好电影必须要具备的，可是就画面和立意能说它是好作品吗？我很怀疑。
开胯教练卢川纯,3,3,姜子牙，耶稣少女变身！
柒月暖阳,3,3,唉，等了一年，早早预订了电影票，结果看了个寂寞
没头脑,3,10,除了画面精美，也没剩下什么了，哪吒显现出来的弊端到了第二部仍然存在，比画面细节和质感本就不能超赶迪士尼皮克斯，就不要在这里下功夫了，况且肉眼很难辨别好坏。唯一可圈可点的画面也有几处细节处理很糟糕，不如从剧情好好下功夫，这才是动画电影崛起的根本。
苹果玛,2,26,年度最无语剧情top1
子不语,3,8,【6.3】大喊口号的姜子牙，不是我心中的那个神仙。
初音奥特曼,4,3,"7.2分，封神大战后的姜子牙是不是相当于圣杯战争后的卫宫切嗣？
评论区里说斩断天梯是对权威的质疑云云，但我看这电影里救天下之类的台词喊个不歇，其实还是中二病居多吧。许多台词喊出来真让人起鸡皮疙瘩，姜子牙八九十岁的人了导演你就别让他燃起中二之魂了。
《哪吒》里打破人们的偏见的主题，至少还跟老百姓有关。救一人还是救天下？愿天下没有不公？这比你小学时纠结以后上清华还是北大更离谱。梦里YY下就行了。"
葱花四月,2,1,我真的好想二倍速……
霍儿登达,3,1,不谈画面和技术层面的东西，剧本及其单薄，以至于影片节奏感极差。天尊和狐妖的关系以及姜太公打破宿命枷锁和制度的情节多少具有一定的现实意义，但这点真相只在影片快结束的时候才出现，严重滞后，这个设计也只是停留在消解愤怒的层面，未有延展。苍生与个体，是两种意识的对峙，虽然谈不上有多高级，但毕竟在当下算是难得，遗憾的是故事对底层并无侧写，这让姜子牙的背景出身在剧情设计中显得颇为尴尬。《姜子牙》的内核比《哪吒》算是高出一个梯级，但它要以国漫自居，《大护法》单从故事和节奏上便不会答应。
普通的雪花,3,2,动作戏画面表现力挺好但是持续时间太短了不够韵味，对波请跟隔壁EVA学学
feifeiRun,4,2,一方面是令人咋舌的意识形态表达，毁灭天梯的隐喻下有另一重自治和抗拒被权力宰制的坚硬愿望，另一方面则是颇有几分清醒和悲观主义的历史闭环。可以看作阿父阵营的自我分化，也可以看作普世价值之英雄对抗官僚政治之惯例，最妙的比喻当然是那把锁，不言而喻。
歌辞,3,4,昏昏欲睡，最有意思的是片尾彩蛋。
stukid,3,7,咱能先老老实实讲个故事么，别这么急着玩深度
书影音档案,4,2,①令BDO迷恋患者又爱又怕的场景，很多唯美震撼的空镜都可用来作壁纸。②不喜女主，生面孔，没来由的设定。③不喜萌宠版四不相，真就不伦不类四不像……
柒拾捌,1,4,剧本刚写了个PPT标题就开拍了
水浒三国金刚,3,0,九喇嘛也会幻术了？
#妙蛙蒸子#,5,5,鉴于上一部哪吒我都给4星了，那这一部一定给五星了。观影的时候，我的脑海里一直在回响一句话“这条小鱼在乎”，这是苏教版小学课文，我当时隐隐就觉得人的生命有时候就像浪潮过后搁浅的鱼，我希望在我“搁浅”的时候，可以有一个怀有悲悯之心的人不顾别人“这么多条鱼你救不过来的”的劝告依然努力将我扔回海里，并大声告诉别人“这条小鱼在乎”。我觉得姜子牙的内核在当下是难能可贵的，如果说上一部哪吒最终和父权和解，那么姜子牙直到最后也还在和集体主义争斗。其他人都向高高在上面目不清的权威下跪，唯独姜子牙会想直面这权威背后的虚伪。这种人在世俗意义上是憨的，是直的，甚至是蠢的，但是他们也是真的。个人向集体服从的时候太多了，我们需要敢于质疑的勇士，我们也需要有人站出来说一句“这条小鱼在乎”。
晓晓一,3,15,打破了一个的权威，为何下一个就会更好。还是借着更高层次的权威打破的，政治正确到不行。故事不够有趣，人物之间的关系不够动人，真的是画面好也救不了。全片最好看的是彩蛋。
kylegun,5,2,冤魂巨鱼骨风铃，姻缘红线痴邪鬼；虚假承诺，过河拆桥，识大局者需泯灭良心；道别之时才明白，有今生没来世；神仙会骗你，我不骗你；难得硬气去怼天尊了，然后告诉我们“上面还有人”？全片要在拆天梯处结束就好了……设定过于随便，故事细节糟烂；当想象力的软件硬件拼不过日本和好莱坞，当今的中国动画说：我们来拼写意，拼立意，拍些咱们真人电影不敢说的东西 : ) 行吧，五星鼓励吧。PS：姜子牙在彩蛋里的强迫症设定要能在全片贯穿多好，作为主角除了苦大仇深外基本没啥特点也算够失败了
分派电影,2,3,无聊，看到一半已经困的不行了。影院里面人明显多了，打电话的、孩子叫的很烦。傻狗萌宠和兄弟情撑起整个电影，在加点浮夸的特效，剧情明显被拉长，细节动画很差。
渣男,2,13,"开篇2D美术胜于整体3D的美术，后期的3D画面上刻意运用大场景渲染就是为了掩饰整体精细度设计方面的不足以及剧情上的共情无力，为此还用上大音效强行煽情
剧情的本质就是一部西部公路片，一切人物的塑造都过分单一，人物弧光近乎没有，唯一的人物转变仅仅是小九与姜子牙成为了朋友，其余则全程都是为行走而行走的“执念”（姜子牙要找答案，小九要找爹），其余所有人都是工具人，只是为了让剧情沿着编剧预设的路线走同时戳观众泪点，最终完成公路剧情和廉价共情
世界观看似宏大，实则虚弱无力，师尊之上有师祖的设定完全是为了强行结尾开联动的生硬反转，连本作的世界观也没有讲好。再加时长不够彩蛋来凑和硬蹭热度的宣传，真心无力吐槽
PS：《哪吒》世界观不宏大，但主要角色的人物弧光十分饱满，国漫崛起的前提是讲好故事，而不是唯技术至上"
疼酱酱,-,19,这剧情…看得我直翻白眼…
发条橙,3,6,娱乐性不足，思想寓意又隔靴搔痒，浅藏辄止，典型的两边都不讨好，有点尴尬。但不论怎样，主创们的创作初心与方向是值得肯定以及鼓励的。
道臣岚,3,1,把观后感改成角色对白不叫写故事，美是美的，傻也是真傻
不如歸,4,2,孩子们大概都没看懂吧，不过我觉得很爽
2666,2,5,世界观是可以的，救一人就是救苍生，但姜子牙这个人物一点不立体，小九也没怎么让人记住，倒不如九尾狐和四不相让人印象深刻但故事很平，可能因为国人《哪吒》看够了，这部期望值太高没有什么惊喜感，最后彩蛋还强行和哪吒联动，不是春节就有点尴尬了，不好意思后面看睡着了。
又又,4,14,很好看啊为啥评分这么低，至少要8吧，没有哪吒那么老少皆宜，但是这部真的很有深度啊，最后打碎天梯的一瞬真的打动我了，打破世间所有不公！这天尊的形象很有隐喻意味啊！还有，这分明就是姜子牙和申公豹的爱情故事啊！求同人！
辄馨,-,9,文、武革命之后，民生不但更差了，还长期笼罩在巨大的阴谋之下
野猪仙森,5,2,中国动画真的世界一流了。画风、美术、设计太赞了！
江海一蓑翁,5,6,分析提纲：1.救一人与救苍生的价值取向分野——桑德尔名著《公正》里众多两难命题的再现；2.神魔世界的人格化——天国只是另一个想象的人间——“从来就没有什么救世主，也不靠神仙皇帝”；3.反乌托邦的情节设定——崇高道德理想在转化为社会实践之后，异化为权力重组过程的政治寓言式隐喻；4.不求高高在上和法力无边，人民英雄，最终化入人民之中——本片人民性的表达与《我和我的家乡》《我和我的祖国》的对比；5.从对《封神演义》原著的创造性改编与解构，看当代社会文化价值取向；6.从中国动画电影的持续成功，看中国电影的国际化路径。
冰镇绿豆汤,4,3,片头的特效非常棒，资金限制没有贯穿全片，虽然遗憾但是更期待以后中国的动画电影了。片尾深海的预告也是这种风格和技术。故事虽然还是服务于大陆主流商业的逻辑，不过估计再有2轮大周期的资金积累，就能扛住整个动画电影产业的多元化叙事的风险了。头抬抬等着中国动画电影能走到日本80/90年代的高度，已见其项背
